product_name,description
"Б.П.1.20Х1,5.70.1"," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
"Б.П.1.20Х1,5.80.1"," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/2.30.1," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/2.40.1," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/2.40.2," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/2.50.1," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/2.60.1," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/2.80.1," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/4.40.1," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
Б.П.1.G1/4.40.2," Бобышки приварные предназначены для монтажа термопреобразователей, защитных гильз, а также датчиков уровня и преобразователей давления на месте эксплуатации. Сама бобышка устанавливается на объекте с применением сварки.   В бобышку можно установить:   термопреобразователь модели 065, 075, 105, 064, 074, 084 непосредственно;  защитную гильзу ГЗ16.М20Х1,5, ГЗ25.М20Х1,5 с последующей установкой в нее термопреобразователя модели 035, 045, 055, 095;  датчик уровня ДС.1, ДС.К, ДС.П; преобразователь давления ПД100, ПД200-ДИ.    Бобышка поставляется в комплекте с негорючей прокладкой из алюминиевого сплава АД1, которая обеспечивает герметизацию системы при монтаже датчика. "
